label,keep_top_n,cv_auc,cv_std,features_used_mean,features_used_min,features_used_max,best_iter_mean,best_iter_min,best_iter_max,fold1_auc,fold2_auc,fold3_auc,fold4_auc,fold5_auc,baseline_cv,delta_vs_baseline
top209,209,0.9446181430898192,3.723421240362985e-05,209.0,209,209,887.3333333333334,820,1006,0.9446409309281952,0.944647860187118,0.9445656381541442,,,0.944658,-3.985691018082438e-05
top199,199,0.9446928341471117,7.018122990648712e-05,199.0,199,199,846.0,773,883,0.9447919624201525,0.9446475474700873,0.9446389925510953,,,0.944658,3.48341471116953e-05
top189,189,0.9446640972673968,3.653294522662868e-05,189.0,189,189,845.3333333333334,726,936,0.9446869284410917,0.9446928194091991,0.9446125439518992,,,0.944658,6.097267396754091e-06
top179,179,0.9445494039043254,4.327429753786542e-05,179.0,179,179,738.0,732,750,0.9445909213846306,0.9445675838513993,0.9444897064769463,,,0.944658,-0.00010859609567459572
top169,169,0.9446489511830505,2.1360756117611836e-05,169.0,169,169,674.0,674,674,0.9446710194013683,0.9446557823518935,0.9446200517958898,,,0.944658,-9.048816949519534e-06
top159,159,0.9447770641474609,5.742328033829754e-05,159.0,159,159,905.6666666666666,897,910,0.9447854029754711,0.944702937620538,0.9448428518463734,,,0.944658,0.0001190641474608789
top149,149,0.9445568916422897,9.440668265470168e-05,149.0,149,149,793.0,793,793,0.9446746343868178,0.9444435095630219,0.9445525309770294,,,0.944658,-0.00010110835771026672
top139,139,0.9447565132509151,6.290898121165673e-05,139.0,139,139,979.6666666666666,911,1014,0.9448344939859596,0.9446804342921946,0.9447546114745915,,,0.944658,9.851325091514429e-05
top129,129,0.9448884512404284,0.00011681587953253555,129.0,129,129,852.0,852,852,0.9450530951954144,0.9447943733864729,0.9448178851393984,,,0.944658,0.0002304512404284198
top119,119,0.9447687519648156,7.090627687402063e-05,119.0,119,119,764.0,668,812,0.9448001150234142,0.9446705851697611,0.9448355557012715,,,0.944658,0.0001107519648155808
top109,109,0.9447183421551641,4.024998205727232e-05,109.0,109,109,791.0,743,873,0.9447689835745264,0.9447155309227571,0.9446705119682091,,,0.944658,6.034215516415031e-05
top99,99,0.9450318211651357,7.677613351959783e-05,99.0,99,99,861.0,779,939,0.9451223142902837,0.9449346120415871,0.9450385371635368,,,0.944658,0.0003738211651357348
top89,89,0.9447603545755637,3.761560992701157e-05,89.0,89,89,1004.0,770,1301,0.9447399699929444,0.9448130998075338,0.944727993926213,,,0.944658,0.0001023545755637345
